"survey_id","sect_id","ques_id","q_no","q_type","text","inst","same_no"
"GRO01","ADMINISTRATION","AA001","sect01","t01"," Surveyor to complete","",""
"GRO01","ADMINISTRATION","AA001","X1","t08","Name of Surveyor","","5"
"GRO01","ADMINISTRATION","AA002","X2","t08","Date of the interview","","4"
"GRO01","ADMINISTRATION","AA003","X3","t08","Interview Start Time","","3"
"GRO01","ADMINISTRATION","AA004","X4","t08","Interview End Time","","2"
"GRO01","ADMINISTRATION","AA005","X5","t08","Participant number","","1"
"GRO01","SECTION 1: CONTACT INFORMATION","AA001","sect02","t01","","",""
"GRO01","SECTION 1: CONTACT INFORMATION","AB001","1A","t08","What is your first name?","","2"
"GRO01","SECTION 1: CONTACT INFORMATION","AB002","1B","t08","What is your last name?","","1"
"GRO01","SECTION 1: CONTACT INFORMATION","AC001","2","t02","What is the name of your business?","",""
"GRO01","SECTION 1: CONTACT INFORMATION","AD002","3A","t07","What is your mobile phone number ?","Please make sure the client provides a ten-digit phone number.","3"
"GRO01","SECTION 1: CONTACT INFORMATION","AD003","3B","t07","What is another mobile phone number we could reach you on? ","Please make sure the client provides a ten-digit phone number.",""
"GRO01","SECTION 1: CONTACT INFORMATION","AD009","3C","t07","What is your landline number?"," Please make sure the client provides a ten-digit phone number.",""
"GRO01","SECTION 1: CONTACT INFORMATION","AE010","4A","t07","What is your email address? ","Please make sure the client provides a valid email address.","2"
"GRO01","SECTION 1: CONTACT INFORMATION","AE004","4B","t07","What is your Skype ID?","",""
"GRO01","SECTION 1: CONTACT INFORMATION","AF010","5A","t03","Maybe we please take a picture of you for our records?","",""
"GRO01","SECTION 1: CONTACT INFORMATION","AF011","5B","t03","Maybe we please take a picture of your business location for our records?","",""
"GRO01","SECTION 1: CONTACT INFORMATION","AG005","6A","t08","Contact: Name (First name, Last name)","Please enter the names and numbers of two people who we can call to stay in touch with you � just in case your phone number or address changes.","6"
"GRO01","SECTION 1: CONTACT INFORMATION","AG006","6B","t08","Contact: Relationship","",""
